id,device_id,ts,voltage,humidity,temperature,latitude,longitude
1,device2,2025-11-11 17:34:34.561664+05:30,0.49,35.34,31.32,0,0
2,device1,2025-11-11 17:34:40.091575+05:30,0.33,41.41,27.58,0,0
3,device2,2025-11-11 17:34:49.51263+05:30,0.49,35.14,31.32,0,0
4,device1,2025-11-11 17:34:55.03917+05:30,0.33,41.35,27.57,0,0
5,device2,2025-11-11 17:35:04.465363+05:30,0.49,35.06,31.29,0,0
6,device1,2025-11-11 17:35:09.990205+05:30,0.32,41.38,27.56,0,0
7,device2,2025-11-11 17:35:19.401945+05:30,0.49,64.85,31.90,0,0
8,device1,2025-11-11 17:35:25.041301+05:30,0.30,41.25,27.57,0,0
9,device2,2025-11-11 17:35:34.564836+05:30,0.49,73.34,32.44,0,0
10,device1,2025-11-11 17:35:40.095729+05:30,0.32,40.98,27.61,0,0
11,device2,2025-11-11 17:35:49.516668+05:30,0.49,71.77,32.82,0,0
12,device1,2025-11-11 17:35:55.659857+05:30,0.30,40.95,27.61,0,0
13,device2,2025-11-11 17:36:04.671695+05:30,0.49,64.32,32.98,0,0
14,device1,2025-11-11 17:36:10.004279+05:30,0.31,41.08,27.59,0,0
15,device2,2025-11-11 17:36:19.625582+05:30,0.49,42.08,32.85,0,0
16,device1,2025-11-11 17:36:25.150514+05:30,0.30,41.12,27.58,0,0
17,device2,2025-11-11 17:36:34.584747+05:30,0.49,38.10,32.68,0,0
18,device1,2025-11-11 17:36:40.100473+05:30,0.31,41.09,27.58,0,0
19,device2,2025-11-11 17:36:49.828459+05:30,0.49,36.79,32.52,0,0
20,device1,2025-11-11 17:36:55.312771+05:30,0.32,41.16,27.57,0,0
21,device2,2025-11-11 17:37:05.321974+05:30,0.49,36.11,32.36,0,0
22,device1,2025-11-11 17:37:10.221429+05:30,0.32,41.10,27.56,0,0
23,device2,2025-11-11 17:37:21.779686+05:30,0.49,35.80,32.21,0,0
24,device1,2025-11-11 17:37:33.76885+05:30,0.34,41.00,27.58,0,0
25,device2,2025-11-11 17:37:48.614934+05:30,0.49,35.57,32.07,0,0
